,Result_UID,num,num_distinct_results,group,act_id,OrganizationID,MLocID,StationDes,MonLocType,HUC12_Name,ELEV_Ft,AU_ID,FishCode,SpawnCode,WaterTypeCode,WaterBodyCode,BacteriaCode,DO_code,ben_use_code,pH_code,DO_SpawnCode,OWRD_Basin,EcoRegion2,EcoRegion3,wqstd_code,Pollu_ID,Calc_Crit,Combine_Result_Cmnts,Combine_Result,Activity_Type,SampleMedia,SampleSubmedia,SampleStartDate,SampleStartTime,chr_uid,Char_Name,Char_Speciation,Sample_Fraction,CASNumber,Result_status,Result_Numeric,IRResultNWQSunit,ActDepthUnit,Result_Depth,act_depth_height,Result_Depth_Unit,Act_Depth_Top,Act_Depth_Top_Unit,Act_Depth_Bottom,Act_Depth_Bottom_Unit,Time_Basis,Statistical_Base,Statistic_N_Value,act_sam_compnt_name,lab_Comments,General_Comments,Analytical_method,QualifierAbbr,QualifierTxt,IDLType,IDLValue,IDLUnit,MDLType,MDLValue,MDLUnit,MRLType,MRLUnit,MRLValue,URLType,URLValue,URLUnit,TribalLand,Result_Operator,Result_Unit,IRWQSUnitName,Result_Type,Result,is_highest_QL,num_QL_levels,drop_DQL,group,code,rational,num_depths
11,30510596,2,2,10,11-A5125,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/31/2011,44:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,7.7,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,7.7,NA,1,No,10,,,1
12,30510604,2,2,10,11-A5126,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/31/2011,47:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,7.8,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,7.8,NA,1,No,10,,,1
13,30510727,2,2,13,14-A2079,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/17/2014,33:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9,NA,1,No,13,,,1
14,30510720,2,2,13,14-A2075,1119USBR_WQX,CRO147,Crooked River below NF Crooked River,River/Stream,Pine Creek-Crooked River,3471,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/17/2014,30:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.1,NA,1,No,13,,,1
15,30510784,2,2,14,11-A1636,1119USBR_WQX,CRO148,Crooked River below Newsome Creek,River/Stream,Conant Creek-Crooked River,3321,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/1/2011,10:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.7,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.7,NA,1,No,14,,,1
16,30510776,2,2,14,11-A1635,1119USBR_WQX,CRO148,Crooked River below Newsome Creek,River/Stream,Conant Creek-Crooked River,3321,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/1/2011,05:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.8,NA,1,No,14,,,1
17,30510800,2,2,15,11-A2545,1119USBR_WQX,CRO148,Crooked River below Newsome Creek,River/Stream,Conant Creek-Crooked River,3321,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/29/2011,07:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,8.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,8.4,NA,1,No,15,,,1
18,30510792,2,2,15,11-A2544,1119USBR_WQX,CRO148,Crooked River below Newsome Creek,River/Stream,Conant Creek-Crooked River,3321,OR_SR_1707030406_02_101771,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/29/2011,06:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,8.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,8.5,NA,1,No,15,,,1
19,30511520,2,2,16,13-A2212,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/18/2013,25:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.5,NA,1,No,16,,,1
20,30511527,2,2,16,13-A2218,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/18/2013,25:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.8,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.8,NA,1,No,16,,,1
21,30511575,2,2,18,14-A1703,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/3/2014,25:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,10.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,10.2,NA,1,No,18,,,1
22,30511582,2,2,18,14-A1707,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/3/2014,25:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,10.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,10.3,NA,1,No,18,,,1
23,30511596,2,2,19,14-A2860,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,7/7/2014,00:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,10,NA,1,No,19,,,1
24,30511589,2,2,19,14-A2854,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,7/7/2014,00:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,9.9,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,9.9,NA,1,No,19,,,1
25,30511602,2,2,20,14-A4284,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/12/2014,55:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,7.9,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,7.9,NA,1,No,20,,,1
26,30511609,2,2,20,14-A4288,1119USBR_WQX,CRO151,Ochoco Creek below Ochoc0 Dam,River/Stream,Ochoco Reservoir-Ochoco Creek,3022,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/12/2014,00:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,7.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,7.6,NA,1,No,20,,,1
27,30511650,2,2,21,10-A4107,1119USBR_WQX,CRO152,Ochoco Creek above Combs Flat Road,River/Stream,Town of Prineville-Ochoco Creek,2878,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/11/2010,38:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,10.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,10.2,NA,1,No,21,,,1
28,30511643,2,2,21,10-A4106,1119USBR_WQX,CRO152,Ochoco Creek above Combs Flat Road,River/Stream,Town of Prineville-Ochoco Creek,2878,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/11/2010,37:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,10.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,10.3,NA,1,No,21,,,1
29,30511701,2,2,23,11-A2336,1119USBR_WQX,CRO152,Ochoco Creek above Combs Flat Road,River/Stream,Town of Prineville-Ochoco Creek,2878,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/22/2011,12:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,12.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,12.5,NA,1,No,23,,,1
30,30511709,2,2,23,11-A2337,1119USBR_WQX,CRO152,Ochoco Creek above Combs Flat Road,River/Stream,Town of Prineville-Ochoco Creek,2878,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,6/22/2011,15:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,12,NA,1,No,23,,,1
31,30511851,2,2,24,14-A773,1119USBR_WQX,CRO152,Ochoco Creek above Combs Flat Road,River/Stream,Town of Prineville-Ochoco Creek,2878,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,4/23/2014,00:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,11.9,NA,1,No,24,,,1
32,30511858,2,2,24,14-A778,1119USBR_WQX,CRO152,Ochoco Creek above Combs Flat Road,River/Stream,Town of Prineville-Ochoco Creek,2878,OR_SR_1707030504_05_101794,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,4/23/2014,00:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,11.7,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,11.7,NA,1,No,24,,,1
33,30512091,2,2,28,13-A1284,1119USBR_WQX,CRO153,McKay Creek at Highway 26,River/Stream,Lower McKay Creek,2849,OR_SR_1707030505_05_102589,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,5/7/2013,05:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,12.6,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,12.6,NA,1,No,28,,,1
34,30512084,2,2,28,13-A1282,1119USBR_WQX,CRO153,McKay Creek at Highway 26,River/Stream,Lower McKay Creek,2849,OR_SR_1707030505_05_102589,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,5/7/2013,05:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,12.7,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,=,mg/l,mg/l,Actual,12.7,NA,1,No,28,,,1
35,30512411,2,2,30,10-A3584,1119USBR_WQX,CRO156,Mill Creek at Coffer Rand Diversio,River/Stream,Lower Mill Creek,3243,OR_SR_1707030503_05_101791,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,7/28/2010,00:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,8.7,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,=,mg/l,mg/l,Actual,8.7,NA,1,No,30,,,1
36,30512418,2,2,30,10-A3585,1119USBR_WQX,CRO156,Mill Creek at Coffer Rand Diversio,River/Stream,Lower Mill Creek,3243,OR_SR_1707030503_05_101791,18,11,2,2,2,3,5,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,7/28/2010,01:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,8.8,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,=,mg/l,mg/l,Actual,8.8,NA,1,No,30,,,1
37,30512856,2,2,31,10-A4359,1119USBR_WQX,CRO158,Crooked River d/s of OID Main Withdrawl,River/Stream,Stearns Dam-Crooked River,2902,OR_SR_1707030510_02_101806,18,11,2,2,2,3,2,6,25,Deschutes,WESTERN CORDILLERA,11,3,154,NA,NA,NA,Sample-Routine,Water,NA,8/18/2010,30:00.0,985,Dissolved oxygen (DO),NA,Dissolved,NA,Final,8.7,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dissolved Oxygen Using an ISE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,=,mg/l,mg/l,Actual,8.7,NA,1,No,31,,,1
