"","ASSESSMENT","RECORD_ID","Pollu_ID","STREAM_LAK","STREAM_NAM","LAKE_NAME","BEACH_NAME","LLID_STR_1","LLID_LAKE","SEGMENT_ID","HUC_4TH_NA","HUC_3RD_NA","MILES","RM1","RM2","POLLUTANT","SEASON","SEASON_ID","ASSESSME_1","ASSESSME_2","ACTION","ACTION_ID","NUMERIC_CR","AFFECTED_U","LISTING_ST","STATUS_ID","PREVIOUS_S","PREVIOUS_A","LISTING_YE","TMDL_INFO","CRITERIA","COMMENTS","SUMMARY"
"20",29366,7671,101,"Johnson Creek","Johnson Creek","","",1226465454422,NA,1515,"Lower Willamette","Willamette","0 to 23.7",0,23.7,"Lead","Year Round",3,2012,"6/25/2013","Status modification - Added to 303(d) list",10,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Attaining","Previous Action: Added to database","Previous Assessment Year: 1998","","Table 20 Toxic Substances","","2012 Data:
[ODEQ] STATION 11321 at RM 0.4 for 9 samples from 04/10/2008 to 02/04/2010, 2 of 9 valid samples exceed the hardness dependent criteria.
[Gresham] STATION JCI1 at RM 11.3 for 11 samples from 01/26/2010 to 10/25/2011, 2 of 11 valid samples ex"
"21",26525,1534,156,"Pine Creek","Pine Creek","","",1204472449061,NA,940,"Lower John Day","John Day","0 to 15.8",0,15.8,"Biological Criteria","Year Round",3,2010,"2/18/2011","No action",21,3,"Resident fish and aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: 303(d)","Previous Action: No status change","Previous Assessment Year: 1998","TMDL Approved: 12/17/2010
John Day River Basin TMDL and WQMP
<a target=""_blank"" href=""http://www.deq.state.or.us/wq/tmdls/johnday.htm"">John Day River Basin TMDL and WQMP</a>","Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.","TMDL does not cover assessments based on new data. New macroinvertebrate data indicate a biological impairment and are not sufficient to de-list.","2010 Data: 
LASAR 25906 River Mile 1.1 FROM 7/11/2001 To 7/9/2002 1 out of 2 (50%) samples outside WCCP regional criteria.
LASAR 25907 River Mile 2.1 FROM 7/11/2001 To 7/9/2002 2 out of 2 (100%) samples outside WCCP regional criteria.
LASAR 25908 Rive"
"22",29371,7285,41,"Zollner Creek","Zollner Creek","","",1228266451046,NA,1640,"Molalla-Pudding","Willamette","0 to 7.8",0,7.8,"Chlorpyrifos","Year Round",3,2012,"6/25/2013","No status change",13,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Status modification - EPA addition to 303(d) list","Previous Assessment Year: 2010","","Table 20 Toxic Substances","","2012 Data:
[USGS] STATION 14201300 at RM 0.4 for 113 samples from 04/10/2000 to 12/22/2011, 7 of 113 valid samples exceed the 0.041 ug/L criteria 

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Thirteen exceedences from samples collected at LAS"
"23",29431,24530,154,"Brush Creek","Brush Creek","","",1228300450040,NA,31564,"Molalla-Pudding","Willamette","0 to 2",0,2,"Dissolved Oxygen","October 15 - May 15",46,2012,"6/25/2013","No status change",13,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2012 Data:
[DEQ] STATION 33234 at RM 2 from 10/30/2002 to 04/29/2005, 9 of 16 (56%) samples < 11.0 mg/l and < 95% saturation

2010 Data:
EPA addition to 303(d) list 12/14/2012:  Thirteen exceedences of the spawning criteria  out of 21 days of samplin"
"24",29331,7659,99,"Beaverton Creek","Beaverton Creek","","",1229133455196,NA,1699,"Tualatin","Willamette","0 to 9.8",0,9.8,"Iron","Year Round",3,2012,"6/25/2013","No status change",13,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","2012 Data:
[USGS] STATION 453115122542701 at RM 0.5 for 44 samples from 05/10/2006 to 12/06/2010, 8 of 42 valid samples exceed the 1000 ug/L criteria.
[ODEQ] STATION 10480 at RM 1.2 for 10 samples from 02/16/2000 to 08/13/2001, 0 of 0 valid samples exc"
"25",26071,13014,132,"King Creek","King Creek","","",1228878437417,NA,9468,"Coast Fork Willamette","Willamette","0 to 3.2",0,3.2,"Temperature","Year Round (Non-spawning)",71,2010,"10/29/2010","No action",21,34,"Salmon and trout rearing and migration","Cat 5: Water quality limited, 303(d) list, TMDL needed",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>","Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum","","2004 Data: 
[DEQ] LASAR 21839 River Mile 0.1: From 8/1/1999 to 9/11/2003, 19 days with 7-day-average maximum > 18 degrees Celsius.
[BLM - Eugene] LASAR 28090 River Mile 2.6: From 6/18/2000 to 9/29/2001, 0 days with 7-day-average maximum > 18 degrees Ce"
"26",29391,15372,99,"East Fork Hood River","East Fork Hood River","","",1216272455754,NA,8679,"Middle Columbia-Hood","Middle Columbia","0 to 27.4",0,27.4,"Iron","Year Round",3,2012,"6/25/2013","No status change",13,24,"Aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Table 20 Toxic Substances","","2012 Data:
[ODEQ] STATION 13138 at RM 1 for 21 samples from 03/06/2000 to 04/22/2002, 4 of 21 valid samples exceed the 1000 ug/L criteria 

Previous Data:  [DEQ] LASAR 13165 River Mile 11.6: From 8/4/1998 to 10/6/1998, 0 out of 2 samples > applicable"
"27",14610,21093,154,"Klamath River","Klamath River","","",1221913420005,NA,11850,"Lost; Upper Klamath","Klamath","231.1 to 251",231.1,251,"Dissolved Oxygen","Year Round (Non-spawning)",71,2004,"4/11/2005","No action",21,8,"Cool-water aquatic life","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Cool water: Not less than 6.5 mg/l","","Previous Data:  [DEQ] LASAR 10768 River Mile 232.8: From 7/19/1994 to 9/23/2003, 5 out of 24 samples (21%) < 6.5 mg/l and applicable % saturation.
[DEQ] LASAR 10768 River Mile 232.8: From 1/11/1994 to 11/18/2003, 0 out of 48 samples (0%) < 6.5 mg/l and"
"28",27876,24346,76,"Powder River","Powder River","","",1170508447455,NA,31486,"Powder","Middle Snake-Powder","0 to 130",0,130,"E. Coli","FallWinterSpring",2,2010,"1/29/2013","No action",21,1,"Water contact recreation","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Two exceedences of the 406 maximum criteria out of 6 days of sampling at LASAR station 10724, Powder River at Hwy 86 (east of Baker City), between 2/8/00 and 4/9/02.    Three exceedences of the 406 max"
"29",25943,12247,154,"Calapooya Creek","Calapooya Creek","","",1234686433656,NA,10223,"Umpqua","Southern Oregon Coastal","0 to 36.1",0,36.1,"Dissolved Oxygen","Year Round (Non-spawning)",71,2010,"10/29/2010","No action",21,7,"Cold-water aquatic life","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2010","TMDL Approved: 04/12/2007
Umpqua Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/umpqua.htm"">Umpqua Basin TMDL</a>","Cold water: Not less than 8.0 mg/l or 90% of saturation","","2004 Data: 
[DEQ] LASAR 29001 River Mile 27.8: From 7/24/2002 to 7/24/2002, 0 out of 1 samples (0%) < 8 mg/l and applicable % saturation.
[DEQ] LASAR 29000 River Mile 35.9: From 7/22/2002 to 7/24/2002, 0 out of 3 samples (0%) < 8 mg/l and applicable %"
"30",14301,21001,154,"Calapooya Creek","Calapooya Creek","","",1234686433656,NA,11926,"Umpqua","Southern Oregon Coastal","0 to 24.8",0,24.8,"Dissolved Oxygen","October 15 - May 15",46,2004,"4/11/2005","No action",21,4,"Salmon and steelhead spawning","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","Previous Data:  [DEQ] LASAR 12806 River Mile 9.9: From 1/22/1997 to 1/22/1997, 0 out of 1 samples (0%) < 11 mg/l and applicable % saturation.
[DEQ] LASAR 12802 River Mile 14: From 1/22/1997 to 1/22/1997, 0 out of 1 samples (0%) < 11 mg/l and applicable"
"31",15392,12767,132,"Little Deschutes River","Little Deschutes River","","",1214536438546,NA,8522,"Little Deschutes","Deschutes","0 to 68.8",0,68.8,"Temperature","Year Round (Non-spawning)",71,2004,"4/14/2005","No action",21,34,"Salmon and trout rearing and migration","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum","","Previous Data:  [DEQ] LASAR 10697 River Mile 25.7: From 4/21/2001 to 10/29/2001, 113 days with 7-day-average maximum > 18 degrees Celsius.
[NF - Deschutes] LASAR 30965 River Mile 43.2: From 6/1/2002 to 10/3/2002, 85 days with 7-day-average maximum > 18"
"32",15379,12754,132,"Metolius River","Metolius River","","",1212861445954,NA,8480,"Upper Deschutes","Deschutes","8.5 to 39.6",8.5,39.6,"Temperature","Year Round (Non-spawning)",71,2004,"4/14/2005","No action",21,32,"Bull trout spawning and juvenile rearing","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: Added to database","Previous Assessment Year: 2004","","Bull trout spawning and juvenile rearing: 12.0 degrees Celsius 7-day-average maximum","","Previous Data:  [DEQ] LASAR 29788 River Mile 31.7: From 7/30/2002 to 10/8/2002, 0 days with 7-day-average maximum > 12 degrees Celsius.
[NF - Deschutes] LASAR 29417 River Mile 29: From 5/22/2001 to 9/28/2001, 0 days with 7-day-average maximum > 12 degre"
"33",27875,24345,154,"Powder River","Powder River","","",1170508447455,NA,31486,"Powder","Middle Snake-Powder","0 to 130",0,130,"Dissolved Oxygen","January 1 - May 15",41,2010,"1/29/2013","No action",21,4,"","Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010","","Spawning: Not less than 11.0 mg/L or 95% of saturation","","2010 Data:
EPA addition to 303(d) list 12/14/2012:  Four exceedences of the spawning criteria  out of 7 days of sampling between 4/11/07 and 4/23/08 at LASAR station 10725, Powder River 3 miles south of Baker. Five exceedences of the spawning criteria"
